;parameter;value;temperature;solar_power;load_heat;load_elec;ele_price_in;gas_price;ele_price_out
sto;stocap;0.0;;;;;;;
sto;mintemp;18.0;;;;;;;
sto;maxtemp;50.0;;;;;;;
sto;initSOC;0.0;;;;;;;
sto;eta;0.0;;;;;;;
sto;minpow;0.0;;;;;;;
sto;maxpow;0.0;;;;;;;
sto;self_discharge;0.005;;;;;;;
boiler;initSOC;35.0;;;;;;;
boiler;maxpow;2.0;;;;;;;
boiler;minpow;0.0;;;;;;;
boiler;stocap;0.0;;;;;;;
boiler;eta;0.96;;;;;;;
chp;initSOC;0.0;;;;;;;
chp;stocap;0.0;;;;;;;
chp;minpow;0.0;;;;;;;
chp;maxpow;0.0;;;;;;;
hp;stocap;0.0;;;;;;;
hp;eta;0.0;;;;;;;
hp;minpow;0.0;;;;;;;
hp;initSOC;0.0;;;;;;;
pv;maxpow;3.0;;;;;;;
pv;minpow;0.0;;;;;;;
pv;eta;0.96;;;;;;;
bat;stocap;3.0;;;;;;;
bat;eta;0.96;;;;;;;
bat;minpow;0.0;;;;;;;
bat;maxpow;1.5;;;;;;;
bat;initSOC;50.0;;;;;;;
ev;stocap;0.0;;;;;;;
ev;eta;0.98;;;;;;;
ev;initSOC;20.0;;;;;;;
ev;endSOC;90.0;;;;;;;
ev;minpow;0.0;;;;;;;
ev;maxpow;0.0;;;;;;;
0;;;0.0;0.0;0.0;0.1338;0.223685771245076;0.07498754639175263;0.11
1;;;0.0;0.0;0.0;0.1438;0.229140394309122;0.07295554639175263;0.11
2;;;0.0;0.0;0.0;0.114;0.2345950173731681;0.07401154639175261;0.11
3;;;0.0;0.0;0.0;0.1813333333333333;0.2400496404372142;0.07052354639175264;0.11
4;;;0.0;0.0;0.0;0.1260666666666667;0.2455042635012602;0.07658221305841928;0.11
5;;;0.0;0.0;0.0;0.15;0.25522319993529147;0.07704087972508596;0.11
6;;;0.0;0.0;0.0;0.2382;0.2649421363693227;0.07467287972508596;0.11
7;;;0.0;0.0;0.0;0.1786;0.274661072803354;0.07538221305841929;0.11
8;;;0.0;0.0;0.0;0.1566;0.2843800092373852;0.07016087972508596;0.11
9;;;0.0;0.0;0.0;0.07493333333333334;0.2740023577299417;0.06506754639175262;0.11
10;;;0.0;0.0;0.0;0.15;0.2636247062224981;0.06461421305841929;0.11
11;;;0.0;0.0;0.0;0.2060666666666667;0.2532470547150545;0.06579821305841928;0.11
12;;;0.0;0.0;0.0;0.2222;0.2428694032076109;0.07258754639175263;0.11
13;;;0.0;0.0;0.0;0.1168666666666667;0.2341096483717063;0.07101421305841929;0.11
14;;;0.0;0.0;0.0;0.1253333333333333;0.2253498935358019;0.07368621305841928;0.11
15;;;0.0;0.0;0.0;0.1862666666666667;0.21659013869989738;0.07854487972508595;0.11
16;;;0.0;0.0;0.0;0.1736666666666667;0.2078303838639928;0.0718782130584193;0.11
17;;;0.0;0.0;0.0;0.1848;0.2058727878979946;0.07476887972508596;0.11
18;;;0.0;0.0;0.0;0.1431333333333333;0.2039151919319964;0.07568087972508594;0.11
19;;;0.0;0.0;0.0;0.1472;0.20195759596599822;0.0736435463917526;0.11
20;;;0.0;0.0;0.0;0.1725333333333333;0.2;0.07191554639175263;0.11
21;;;0.0;0.0;0.0;0.0838;0.2;0.07435287972508596;0.11
22;;;0.0;0.0;0.0;0.1886;0.2;0.07736621305841929;0.11
23;;;0.0;0.0;0.0;0.2470666666666667;0.2;0.07589421305841927;0.11
24;;;0.0;0.0;0.0;0.1708666666666667;0.2;0.07349954639175263;0.11
25;;;0.0;0.0;0.0;0.1042;0.2;0.07663554639175262;0.11
26;;;0.0;0.0;0.0;0.0762;0.2;0.0771102130584193;0.11
27;;;0.0;0.0;0.0;0.1927333333333333;0.2;0.08150487972508595;0.11
28;;;0.0;0.0;0.0;0.2238666666666667;0.2;0.07573954639175261;0.11
29;;;0.0;0.0;0.0;0.1700666666666667;0.2;0.08032621305841929;0.11
30;;;0.0;0.0;0.0;0.1106666666666667;0.2;0.08485954639175262;0.11
31;;;0.0;0.0;0.0;0.1732666666666667;0.2;0.0870835463917526;0.11
32;;;0.0;0.0;0.0;0.1649333333333333;0.2;0.08335021305841929;0.11
33;;;0.0;0.0;0.0;0.09593333333333334;0.2;0.09216621305841928;0.11
34;;;0.0;0.002666666666666667;0.0;0.2038;0.2;0.08969687972508596;0.11
35;;;0.0;0.02133333333333333;0.0;0.2002666666666667;0.2;0.08896621305841927;0.11
36;;;0.0;0.03733333333333333;0.0;0.1948;0.2;0.08516354639175262;0.11
37;;;0.0;0.06;0.0;0.0964;0.20469646390281798;0.08182487972508595;0.11
38;;;0.0;0.04533333333333334;0.0;0.1246666666666667;0.2093929278056359;0.08114754639175262;0.11
39;;;0.0;0.03866666666666666;0.0;0.194;0.2140893917084539;0.08119554639175261;0.11
40;;;0.0;0.04933333333333334;0.0;0.2198;0.2187858556112718;0.08329687972508595;0.11
41;;;0.0;0.1013333333333333;0.0;0.1548666666666667;0.238316179717708;0.0850995463917526;0.11
42;;;0.0;0.1253333333333333;0.0;0.09713333333333334;0.2578465038241442;0.0837182130584193;0.11
43;;;0.0;0.08800000000000001;0.0;0.1697333333333333;0.2773768279305803;0.08182487972508595;0.11
44;;;0.0;0.06933333333333334;0.0;0.1542666666666667;0.2969071520370165;0.08572354639175263;0.11
45;;;0.0;0.09066666666666667;0.0;0.1707333333333333;0.2791911834836635;0.08736087972508597;0.11
46;;;0.0;0.1173333333333333;0.0;0.1843333333333333;0.2614752149303104;0.08685954639175264;0.11
47;;;0.0;0.1506666666666667;0.0;0.1492;0.2437592463769574;0.0865662130584193;0.11
48;;;0.0;0.07200000000000001;0.0;0.1823333333333333;0.22604327782360428;0.08659287972508595;0.11
49;;;0.0;0.07733333333333332;0.0;0.1279333333333333;0.2370680879996635;0.08887554639175263;0.11
50;;;0.0;0.032;0.0;0.1101333333333333;0.2480928981757228;0.08879021305841928;0.11
51;;;0.0;0.03333333333333333;0.0;0.1848;0.259117708351782;0.08923821305841928;0.11
52;;;0.0;0.02666666666666667;0.0;0.2298666666666667;0.2701425185278412;0.09194754639175264;0.11
53;;;0.0;0.03333333333333333;0.0;0.4848;0.2742219294210791;0.10643287972508594;0.11
54;;;0.0;0.044;0.0;1.389733333333333;0.2783013403143169;0.10904621305841927;0.11
55;;;0.0;0.05066666666666667;0.0;1.548866666666667;0.2823807512075548;0.09794221305841927;0.11
56;;;0.0;0.02133333333333333;0.0;0.4998;0.2864601621007926;0.0962622130584193;0.11
57;;;0.0;0.016;0.0;0.2933333333333333;0.2864601621007926;0.08761687972508594;0.11
58;;;0.0;0.01066666666666667;0.0;0.2665333333333333;0.2864601621007926;0.08577154639175263;0.11
59;;;0.0;0.008;0.0;0.233;0.2864601621007926;0.08097154639175262;0.11
60;;;0.0;0.004;0.0;0.2530666666666667;0.2864601621007926;0.08438487972508596;0.11
61;;;0.0;0.004;0.0;0.2628;0.2902159936597227;0.07805954639175264;0.11
